int      	 INT
x        	 IDENT
=        	 ASSIGN
0        	 INT_LIT
;        	 SEMICOLON
while    	 WHILE
(        	 LPAREN
x        	 IDENT
>        	 GTR
10       	 INT_LIT
)        	 RPAREN
{        	 LBRACE
print    	 PRINT
(        	 LPAREN
x        	 IDENT
)        	 RPAREN
;        	 SEMICOLON
}        	 RBRACE
while    	 WHILE
(        	 LPAREN
true     	 TRUE
)        	 RPAREN
{        	 LBRACE
print    	 PRINT
(        	 LPAREN
"        	 QUOTA
TRUE\n   	 STRING_LIT
"        	 QUOTA
)        	 RPAREN
;        	 SEMICOLON
x        	 IDENT
++       	 INC
;        	 SEMICOLON
if       	 IF
(        	 LPAREN
x        	 IDENT
==       	 EQL
10       	 INT_LIT
)        	 RPAREN
{        	 LBRACE
break    	 BREAK
;        	 SEMICOLON
}        	 RBRACE
}        	 RBRACE

Finish scanning,
total line: 12
comment line: 0
